Image,Words
Amazon_Product_1.jpeg,['พสตพร']
Amazon_Product_10.jpeg,"['แต', 'นหล', 'ทา', 'ธ็', 'ทาร', 'ศุน', '๐๐', 'ทก', 'ทล', 'เท', 'อร', 'กิย', 'เท', 'อน', 'อทอ', 'ทา', 'ไลอ', '๑๑', 'อร', '๒๒', 'ทอ', 'เย', 'รลท่', 'เรอ', 'อรรย์ทอ', 'รศุน']"
Amazon_Product_11.jpeg,"['เทา', 'ลอทออร', 'ทา', 'ไท', 'ไข', 'ไว', 'ไห่', 'โอก', 'สง', 'อส่สหทอลฝรไเนสออสออ', 'หาร', 'สทส์มห', 'เท', 'เออ', 'ทาร', 'เห', 'ทา', 'หา', 'ลอ', 'ภิน', 'ระ', 'มฮุทรลรนท', 'ยุ', 'โอ', 'หห', 'โท', 'ยผู', 'ทา', 'ทร', 'ทา', 'เลทออหห', 'เช้า', 'สผ่', 'เท', 'ทท', 'ลส', 'เล', 'เส', 'ทอ', 'โฉ', 'ทา', 'ลรอ', 'ทอ', 'รร', 'อร', 'ใส', 'ปสทย์สทล', 'เท', 'รอ', 'ทอ', '๐๕', 'เท', 'ทา', 'ตณีลงส', 'ทอย', 'หอบ', 'เท', 'ลรร็อ', 'ทา', 'หา', 'เท', 'โท', 'พหล', 'สน', 'ทา', 'อง', 'ทผูหลกสฝ่', '๒๕', 'สย์', 'เหา', 'อป', 'รอ', 'ไท', 'งอ', 'เห', 'เทา', 'ไส', 'ดเอต์ส', 'ทา', 'ดอ', 'สบ', 'เอ', 'ทร', 'นอ', 'เท', '๐๐', 'ทฑารฑทลทวลร']"
Amazon_Product_12.jpeg,"['เอ', 'ทา', 'ทา', 'ไว', 'เฮ', 'ไลรรห', 'ไว', 'สทไ', '๐๐', 'ทร', 'ไห', 'นอ', 'ไอ', 'โอ', 'อใ', 'โฮ', 'ทร', 'เห', 'อทยฮู', 'ข่า', 'ลทสรห', 'ยอก', 'สุ่นหลท', '๐๕', 'เฮ', 'ทอ', 'ฮฮุล', 'ทา', 'ลรทอลรลทส', 'ทา', 'หอ', 'รน', 'อร', 'รก', 'โน', 'ไต']"
Amazon_Product_13.jpeg,"['โห', 'แอ', 'ศัร', 'เท', 'ธอ', 'แร', 'รอ', 'เพะ', 'รอ', 'เค', '๑๐', 'เข', 'เห', 'ลรไลบ', 'แร', 'ูหรผ่']"
Amazon_Product_14.jpeg,"['รล', 'สา', 'ดอก', 'แมค', 'โอ', 'เท', 'สห', 'เฉ', 'ศินถก', 'เท', 'ยู', '๐๐', '๐๒๐', 'ปทท', 'นก', 'อู', 'เลรรอ']"
Amazon_Product_15.jpeg,"['สา', 'ยธ', 'ซ่เฟ', 'รพ', 'รห', 'รฯื', 'โซ', 'พพผธะ', 'เพ']"
Amazon_Product_16.jpeg,"['คล', 'หพอพหอ', 'เอก', 'คค', 'คัตอ', 'แพ', 'อง', 'คลอ', 'ทอ', 'ทอ', 'เส่', 'อริน', 'มือ', 'ทืนมภ', 'แลบ', 'ธะพ', 'ผา', 'เส', 'สส', 'ทอ', 'ทล', 'เห', 'เร่อ', 'ทอ', 'ทล', 'ใส่', 'ลรนอฟ์อทบ๊', 'เออ', 'ทา', 'ทล', 'ส่อ', 'เพท', 'ออ', 'ทา', 'แล', 'เนหลทอล']"
Amazon_Product_17.jpeg,"['เลเ', 'ไอ', 'กท', 'โอร', 'ไท', 'ลม', 'มน', 'แฮ', 'ยู', 'ปัทเฟล', 'เส', 'ทร', 'รร', 'เท', 'ไห', 'รศิดเทร็อห', 'อส', 'ยา', 'นอ', 'ไน', 'ทอ', 'หา', 'เวล', 'ไห', 'ธร', 'เท', 'แล', 'ทร', 'ไฮ', 'ทล', 'รร', 'โอ', 'รม', 'เพ', '็เวพิดใทก์ฉหออส', 'โอ', 'อทรดกรอั']"
Amazon_Product_18.jpeg,"['พล', 'เห', 'แนหฝพ', 'เข', 'เฮง', 'ปิอ', 'อิล', 'กปร', 'กี', 'มือ', 'นง', 'ลอหรล', 'ทิน', 'แฒ', '๕๒', 'ไห', 'แททล', 'เยอ', 'ไห่', 'ใต', 'ไฟ', 'ใส', 'ลรอ', 'ฝี่', 'อท', 'โท', 'ไธททลรไล', '่ท', 'ยู', 'อด', 'ปิ', 'ทา', 'ลห', 'ทล', 'เท', 'ยนรอสทอิใหล']"
