id,text,text_for_vec,text_length
c7e254ff6e829bbd379c791c06dba26a,วันนี - 14 มีนาคม 2568 รีบด่วน 400 web hosting,วันนี - 14 มีนาคม 2568 รีบด่วน 400 web hosting,46
310f05853aa67594eadcecfaeab260c9,แฟลชเซล มาก่อน ได้ก่อน 899 12 00 น.,แฟลชเซล มาก่อน ได้ก่อน 899 12 00 น.,35
a602b8402e30353896de582cfc8602d6,ifex prc ติวเข้ม tfex ให้ takeprofit ได้แบบมือโปร,ifex prc ติวเข้ม tfex ให้ takeprofit ได้แบบมือโปร,49
4eea40723af32721712529331dc268e8,สร้างรายได้เสริมจากที่บ้าน ด้วยการสอน ai เขียนโค้ด สมัครเลย,สร้างรายได้เสริมจากที่บ้าน ด้วยการสอน ai เขียนโค้ด สมัครเลย,59
c863dc028d2446a5a578c77a2efa5806,uniol0 management candidate 2025 25 บีนาคม 2568 สมัครเลย โอกาลเดียวในปนี้,uniol0 management candidate 2025 25 บีนาคม 2568 สมัครเลย โอกาลเดียวในปนี้,73
7991c6fcc4ef20a377f8c18abdc9f813,วันนีถึง 21 กุมภาพันธ์ 2568 รีบด่วน จดโดเมน com,วันนีถึง 21 กุมภาพันธ์ 2568 รีบด่วน จดโดเมน com,47
ed76a984a5d9b3284851a3aac726a6dd,wow sale 50,wow sale 50,11
a3b051fd5fae0dadedab2c9c77db14a4,"""fesn mp","""fesn mp",8
f9cfd009a36836ec19a6f2a85995e4e6,,empty_record,0
0720a71ff116ce2846ff173314a7d55a,special offer end of season sale 50 off discount on all items,special offer end of season sale 50 off discount on all items,61
87386e7c1177f3fe5f0cedf0761799f6,mondax tuesdax bux all shoes,mondax tuesdax bux all shoes,28
d5e829273d2ec34eb431bdb304ed2e43,blง,blง,3
4fbd4b2c4c347827e27ea53e2cf4325e,27 fipflop sale each,27 fipflop sale each,20
a49246a82db33e20b24ab293b010168f,flat 50 off . e,flat 50 off . e,15
17298b5a7fdfb85a78c786be39aa4bd6,sale merry christmas up to 65 0ff shop now,sale merry christmas up to 65 0ff shop now,42
e0b2fb8460042a1dfa1f2061095ad5ce,131 คอร์สตัวตึงสาย dev dea 8 next.,131 คอร์สตัวตึงสาย dev dea 8 next.,34
6468069983edc56276264a292c5fa6b1,,empty_record,0
