word,score,softmax,sentiment
สร้าง,0.953,"[0.0324, 0.953, 0.0146]",Neutral
รายได้,0.9208,"[0.0465, 0.9208, 0.0327]",Neutral
เสริม,0.9561,"[0.0365, 0.9561, 0.0073]",Neutral
บ้าน,0.9425,"[0.051, 0.9425, 0.0066]",Neutral
การสอน,0.9606,"[0.0244, 0.9606, 0.015]",Neutral
trial,0.9465,"[0.0395, 0.9465, 0.014]",Neutral
โค้ด,0.9621,"[0.0344, 0.9621, 0.0035]",Neutral
สมัคร,0.8958,"[0.097, 0.8958, 0.0072]",Neutral
union,0.9443,"[0.0427, 0.9443, 0.0129]",Neutral
management,0.9605,"[0.0244, 0.9605, 0.0151]",Neutral
candidate,0.9625,"[0.0206, 0.9625, 0.0168]",Neutral
สมัคร,0.8958,"[0.097, 0.8958, 0.0072]",Neutral
กาล,0.9331,"[0.0503, 0.9331, 0.0166]",Neutral
กุมภาพันธ์,0.949,"[0.0426, 0.949, 0.0085]",Neutral
รีบด่วน,0.7104,"[0.2753, 0.7104, 0.0142]",Neutral
โดเมน,0.9708,"[0.0208, 0.9708, 0.0084]",Neutral
com,0.9611,"[0.0307, 0.9611, 0.0081]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
fess,0.9036,"[0.0784, 0.9036, 0.018]",Neutral
special,0.931,"[0.0588, 0.931, 0.0101]",Neutral
offer,0.9469,"[0.0287, 0.9469, 0.0244]",Neutral
end,0.9313,"[0.0525, 0.9313, 0.0161]",Neutral
season,0.9439,"[0.0432, 0.9439, 0.0128]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
discount,0.9422,"[0.037, 0.9422, 0.0208]",Neutral
item,0.9105,"[0.069, 0.9105, 0.0205]",Neutral
monday,0.8112,"[0.171, 0.8112, 0.0178]",Neutral
tuesday,0.8916,"[0.0901, 0.8916, 0.0183]",Neutral
shoe,0.9298,"[0.0466, 0.9298, 0.0236]",Neutral
fipflop,0.9334,"[0.0522, 0.9334, 0.0144]",Neutral
sale,0.9405,"[0.0425, 0.9405, 0.0171]",Neutral
flat,0.9181,"[0.0579, 0.9181, 0.024]",Neutral
แห่,0.8444,"[0.1364, 0.8444, 0.0192]",Neutral
ชาติ,0.8809,"[0.0753, 0.8809, 0.0438]",Neutral
งานหนังสือ,0.9219,"[0.0526, 0.9219, 0.0256]",Neutral
แห่งชาติ,0.9541,"[0.039, 0.9541, 0.0069]",Neutral
flash,0.9383,"[0.0459, 0.9383, 0.0158]",Neutral
sake,0.9066,"[0.0713, 0.9066, 0.0221]",Neutral
ship,0.9211,"[0.0537, 0.9211, 0.0252]",Neutral
sairpods,0.9187,"[0.0598, 0.9187, 0.0215]",Neutral
