Image,Words,CTA
Facebook_Food_107.jpeg,"['แน', 'แพะ', 'เห', 'ลพ', 'ทวน', 'ราคา', '่อ', 'ทธิ', 'แน', 'แห', 'โอ', 'ลลด', 'พิเศษ', 'ตม', 'โท', 'โฮ', 'ลปก', 'ติ', 'ควุรรภ', 'รวก', 'คอ', 'หมู', 'ย่าง', 'ข้าวเหนียว', 'เพ', 'ยง', 'เปก', 'ติ', 'เห', 'ทา', 'ทท', 'งลร', 'ทา', 'คห', 'อะ', 'เห', 'รธ', 'แห', 'พะ', 'โอ', 'แกว', 'ปกติ', 'คธน', 'ไย', 'มาม่า', 'เข็น', 'ตา', 'โฟตัมยําน้ขิน', 'กพ', 'เอน', 'ลด', 'พิเศษ', 'ปกติ', 'คด', 'ดี', 'กล', 'แนเ', '๒๐', 'ลด', 'เศษ', 'ปกติ', 'ร้าน', 'สาขา', 'เข้าร่วม', 'โปรโมชัน', 'สิทธิ์', 'จํานวนชํากัต', 'วัส', '่วนสต', 'ปื้อ', 'ตําลต', 'นื้อ', 'หน้า', 'ได้ส่วน', 'ลต', 'สุต', 'เชี่น', 'ไข', 'คา', 'ส่จ', 'เนื่อ', 'อาหาร', 'แนน', '๐๐๓', 'ไน', 'พื้นที่', 'กรุงเทพ', 'ปริบ', 'ณฑล', 'จิ', 'หวิด', 'เชียง', 'ใหป่', 'ขอน', 'แฉ', 'ทะ', 'แค้', 'ร่ว', 'บรา', 'ยศารสัวพ', 'รี', 'คุ้น', 'ทาร', 'สุ', 'กิ', 'โด', 'แนตร', 'ทุบ', 'ภา', 'พินธ์ธฐ', 'มีนา', 'คน', 'ไข', 'ตา', 'แที่ซคําหนด', 'ตาน', 'ข้อ', 'คําหนด', 'ปี', 'คา', 'รน', 'พเล่ะทน', 'ซ่อง', 'ทา', 'จเร็น', 'ไซต์', 'สะ', 'โท', 'ทาส', 'โทร', 'เทค', 'ไท', 'าอต่', 'เซน', 'สุ่', 'เงื่อนไข', 'เป็นไป', 'บริษัทฯ']",1
Facebook_Food_108.jpeg,"['แน', 'แพะ', 'เห', 'ลพ', 'ทวน', 'ราคา', 'ข้าว', 'กระ', 'เพรา', 'เนื้อ', 'บด', 'มค', 'ออสเตรเลีย', 'ไข่ดาว', 'ปก', 'ติ', 'คร', 'คุ้ม', 'คธ', 'ข่าว', 'ราด', 'คแภง', 'กลอง', 'ปกติ', 'ก๋วยเตี๋ยว', 'ไก่', 'กล่อง', 'กุ', 'พล', 'ดพ', 'เศษ', 'ปกติ', 'คธ', 'ฟรี', '๑๐๐', 'แค', 'รป', 'หมู', 'หยือง', 'แฮม', 'พริก', 'เผา', 'กพ', 'ฟรี', 'ชา', 'ข้าว', 'หอม', 'บก', 'กพ', 'ชา', 'ฟอง', 'มะลิ', 'ร้าน', 'สู', 'ขา', 'เข้าร่วม', 'โปร', 'โม', 'ชิน', 'สิทธิ์', 'จํานวนจํากัต', 'สต', 'เนื่อ', 'ปื้อ', 'ตั๋าลต', 'นื้อ', 'หน้า', 'ได้ส่วน', 'ลต', 'สุ', 'ไข', 'คําส่จ', 'สัง', 'ฮา', 'หาร', 'แบน', 'ไอ', 'ระ', 'พื้นที่', 'แล', 'ปริบ', 'จิ', 'จหร', 'วัด', 'เขียง', 'ใหป', 'ขอบ', 'แก่น', 'เล', 'ทะ', 'ท้า', 'ร่วน', 'ศารสงพ', 'ซี', 'ล้า', 'คุ้น', 'ทา', 'โล', 'แมตร', 'ทุ', 'นภา', 'พิบธ์', 'บา', 'คน', 'ป่น', 'ไข', 'ตา', 'แที่ซคําหนด', 'ตาน', 'ข้อ', 'คําหนด', 'ปี', 'คา', 'รน', 'พเล่ะทน', 'ซ่อง', 'ทา', 'จเร็น', 'ไซต์', 'สะ', 'โท', 'ทาส', 'โทร', 'เทค', 'ไท', 'าอต่', 'เซน', 'สุ่', 'เงื่อนไข', 'เป็นไป', 'บริษัทฯ']",1
Facebook_Food_60.jpeg,"['แทอ', 'เครป', 'กรอบ', 'กระปุก', '๓๓๒', 'เม', 'อซอสืน', 'ค้า', 'หนา', 'ร้าน', 'โร', 'ๆน', 'อะ', 'แมก', 'ปิอ', 'ทะ', 'รร', 'อเส่อก', 'โห', 'กล', 'ธธใหอทัทม', 'เต', 'ปก', 'รอบ', 'เยือง', 'ปัน', '็ก', 'สาย', 'ทร', 'เท', 'แร', 'งก', 'รร', 'เงื่อนไข', 'สู', 'ค้า', 'สมา', 'ชิ', 'กอ', 'โปรโมชัน', 'ล่า', 'ร่วมกับ', 'โปรโมชัน', 'อิ่นฑ', 'เฉพาะหน้า', 'ร้าน', 'สาขา', 'เอกมัย', 'ลูกค้า', 'สมัคร', 'สมาชิก', 'สมาชิก', 'เก่า', 'ร้าน', 'นัน']",1
Facebook_Product_118.jpeg,"['แผธีก์', 'เษ', 'ชิ', 'บร', 'โท', 'รร', 'ธน', 'เท', 'รร', 'ไผท', 'ตย', 'อะ', 'ปลดล็อก', 'พลัง', 'ข้อมูล', 'เชื่อมต่อ', 'ลุ่ม', 'เป้า', 'มาย', 'แเ', 'แพ', '๒๒๐๐', 'รหร', 'แอ', 'ทา', 'สื่อสาร', 'ใจ', 'โฆษณา', 'ตรงเป้า', 'หาร', 'แพ', '๒๕', 'เท', 'แนาวี่ยจ', 'โพน', 'คุ', 'นนนพือน']",1
Facebook_Product_131.jpeg,"['มะ', 'โฆ', 'เม', 'อเษ', 'คะแนน', 'เท', 'อคบแน', 'สแกน', 'อู', 'ลงทะเบียน', 'คะแนน', 'วธ', 'งสง', 'ทะเบียน', 'สิทธิ์', 'ทุกครั้งที่', 'ยอด', 'ฉ่า', 'เตียว', 'หมายเหตุ', 'สมาชิก', 'บัตเธ', 'เค', 'รติ', 'ตฯ', 'ลงทะเบียน', 'ทุกครั้งที่', 'ต้องการ', 'คะแนน', 'สะสม', 'แล', 'กรับ', 'ส้อง', 'สง', 'ทะเบียน', 'เข้าร่วม', 'รายการ', 'เตียว', 'สมา', 'ษิกบัตธ', 'เค', 'รติ', 'ตฯ', 'ยอด', 'ใหช้', 'ฉ่า', 'บัตธฯเทิต', 'โท', 'ไละไลง', 'เบือน', 'ไข', 'เป็นไป', 'บริษัทฯ', 'ธนา', 'คา', 'รก', 'ําหนต', 'แท่', 'ฉํา', 'ําธะ', 'คืน', 'เส็ม', 'อํานวน', 'สาม', 'ภําหนต', 'ฉะ', 'ตอก', 'เบี้ย', 'ส่อ', 'ปี']",1
Facebook_Product_134.jpeg,"['เปีส', 'ิธิ', 'ให', 'แล', 'อก', 'ลา', 'ยปฑ์', 'วฯ', 'เอ', 'สมัคร', 'ทิงลสกท', 'กา', 'ขา']",1
Facebook_Product_147.jpeg,"['สทพ', 'เศษ', 'บตร', 'เค', 'รด', 'ตร', 'นาคา', 'รอ', 'อม', 'สน', 'ใช้จ่าย', 'บัตร', 'คะแนน', 'ยอด', 'ซื้อ', 'ตัง', 'บาท', 'ขึ้นไป', 'เหลล์', 'สลิป', 'ศูนย์การค้า', 'เซ็นทรัล', 'สาขา', 'ช้', 'จํา', 'ชํา', 'ระ', 'คืน', 'เต็ม', 'จํานวน', 'ตา', 'มก', 'ําหนด', 'เสียดอกเบี้ย', 'ปี', 'โปรด', 'ตรวจสอบ', 'ข้อมูล', 'เพิ่นเติน', 'ลงทะเบียน', 'สิทธิ์', 'จุด', 'แลก', 'สบ', 'นา', 'ศูนย์', 'คา', 'ค้า', 'เงื่อน', 'โข', 'โป', 'ธนา', 'คา', 'รก', 'ําหนด', 'โปรด', 'ศึกษา', 'รายละเอียด', 'สื้อ', 'ธนาคาร', 'ไมีคพค']",1
Facebook_Product_16.jpeg,"['รเผิ้มอ', 'เร', 'ลท', 'ปี', 'เซ', 'พลาด', 'อก', 'รอ', 'หน้า', 'คอร์ส', 'ลด', 'ปูพื้น', 'งลงลร', 'หพิธล', 'ไน', 'ไล', 'ลทธุ์', 'โห', 'มร', 'ทอ', 'ฟโ', 'ไหม', 'ภาษา', 'ธเล', 'ทาก', 'ธลด', 'สมัคร', 'ในนาม', 'บุคคล', 'เรียน', 'ตลอดชีพ']",1
Facebook_Product_173.jpeg,"['ูสวฒว', 'สม', 'ครขม', 'รบ', 'เด', 'อน', 'นฆซะ้บ', 'โปร', 'หนัก', 'แฟร', 'เด้', 'งง', 'ทา', 'เค', 'ทงเฟ', 'ค่าสมัคร', 'ผู', 'รับงาน', 'ครบรอบ', 'ญี่', 'คย', 'ขับ', 'ระบบ', 'เดือน', 'กด']",1
Facebook_Product_20.jpeg,"['วิดีโอ', 'งา', 'ณะ', 'คม', 'สมัคร', 'รัน', 'จธา', 'คา', 'ซัอแม']",1
Facebook_Product_205.jpeg,"['ดู', 'อต', 'แหล', 'ไก', 'กุ', 'กก', 'ศัทิกงทกต', 'ปี', 'ต่ว', 'แข', 'ปง', 'ทยแน', 'ตา', 'แร', 'เห', 'เบอร์', 'วร', 'โน', 'ชั่น', 'ริบ', 'ส่วนลด', 'แอด', 'ไลน์', 'เแทล', 'โทร', 'เว']",1
