feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70,feature_71,feature_72,feature_73,feature_74,feature_75,feature_76,feature_77,feature_78,feature_79,feature_80,feature_81,feature_82,feature_83,feature_84,feature_85,feature_86,feature_87,feature_88,feature_89,feature_90,feature_91,feature_92,feature_93,feature_94,feature_95,feature_96,feature_97,feature_98,feature_99,feature_100,feature_101,feature_102,feature_103,feature_104,feature_105,feature_106,feature_107,feature_108,feature_109,feature_110,feature_111,feature_112,feature_113,feature_114,feature_115,feature_116,feature_117,feature_118,feature_119,feature_120,feature_121,feature_122,feature_123,feature_124,feature_125,feature_126,feature_127,cluster_id
1.7620234,2.3551548,-0.3454438,-0.28563535,2.348298,0.14968175,-0.5638721,-1.0357919,2.5307298,-1.1281435,-2.7634292,2.2415004,1.194934,-0.27789503,0.6827434,-0.8217354,1.9192204,1.1636652,2.6693385,-0.27393052,-0.8059065,-2.559579,0.18833464,0.21953608,2.5964713,-0.32064688,-3.2123203,0.3675826,0.2519199,2.1368818,1.072572,2.0566099,-0.5964869,1.256562,-0.27517432,0.6070555,-0.19938077,0.8142063,-1.8882184,0.43101263,-1.6782697,-1.4814042,1.4971299,1.0235091,-1.2298284,0.48209536,-1.204915,2.7524285,-0.5542742,-1.0078864,0.039550718,-1.4293385,-1.0343219,-1.247953,1.500914,0.52650017,2.8438385,-1.5839804,-0.9994023,1.6342533,0.71485376,2.2870858,-1.1977338,-1.7906587,2.1194613,0.9820999,2.6403818,0.0039668456,0.3742529,-2.250459,-0.6559169,-2.832361,-0.9839412,0.9331037,-0.09211413,0.9580561,0.8069698,2.4946103,1.6888905,-1.4756736,0.9451543,1.2753786,-2.5176334,0.083270244,1.6585178,0.058722854,2.0832314,-0.49601278,0.014879042,-0.3374167,1.672007,0.2566623,-0.2970527,0.29974407,-0.76954037,0.7352536,0.19698161,1.6650336,-2.7979484,2.3443027,1.7243236,-0.32154208,1.8944683,-0.23745042,1.4726208,-0.3893878,0.52715224,-1.1710191,-2.7367063,-0.27012205,0.17965917,2.954578,-0.017032858,-0.47208574,0.8067954,-0.30826417,-0.27457288,-1.1543357,0.2809458,-1.1762292,0.39956507,0.10759999,1.0450785,-0.75490206,1.0026501,1.0841343,-0.10281898,-0.5973959,1
1.9981543,1.1433882,-0.57446814,-0.11517122,1.654163,0.8510803,-2.3052073,-0.29408893,0.94405836,-1.6328297,-0.8606428,0.4067349,0.1034301,0.7125094,0.4323192,-3.0258427,0.88250697,1.9250412,-3.8300943,-1.6489278,-0.6055319,0.060278617,3.5610595,2.7039146,1.7454958,1.5285686,-3.634585,-3.4289172,-2.8884687,2.9008934,2.2354789,3.1384091,-1.7792631,-2.8385725,3.668296,1.5465622,-2.377201,-1.8922577,0.6194276,1.8193848,1.3126365,0.6136921,0.21617046,0.43679404,3.4586408,2.5571384,-0.591632,3.686453,-2.6558166,-0.35162282,-3.379969,0.57455295,-2.1235323,-1.2618626,-2.3566737,1.7882892,2.1597683,1.1304231,-1.2206156,0.9422127,-2.571587,-2.3328166,-2.6017752,0.8027111,-0.4003248,1.1195128,2.048437,-3.1329613,-1.2361993,0.900737,2.4206305,4.1199317,0.8801943,-2.57353,0.24695419,1.4308956,-1.8883126,2.303824,1.6234663,-0.43605492,1.7883959,-0.33439752,1.9307077,-0.71883476,-0.7212636,-0.6027638,0.015283231,1.224995,1.1328852,1.9101402,3.0879736,1.3647727,-1.3765421,1.2713078,-0.063882925,3.3357751,-1.676163,0.4640403,-0.52621835,0.7130329,-1.8736866,0.9021098,-0.2843754,2.6826332,-0.4657606,-1.9082522,1.9220213,-3.5309129,-2.610621,0.03222066,-3.153705,1.640593,2.920191,1.9808215,-2.6732612,-2.2798328,3.421233,-0.041377842,1.8788564,-0.8894053,0.14758062,-0.8438585,-1.2873747,-0.23298159,-0.7330918,-2.0230105,1.500133,-0.21844602,1
0.63001126,1.2803159,-1.5314045,1.0031724,0.9665683,1.6258212,0.5203387,1.1763618,0.42515445,-0.5729725,-2.3438823,-0.8461139,0.13475889,-0.8682239,1.7320101,0.035970382,1.3052001,1.1718191,1.8446186,0.4774647,-1.4838282,1.2112284,0.56159675,-0.10967734,-2.3832257,-0.80088294,-0.80927104,-1.7362878,-1.7340103,1.9848596,1.5447391,1.751014,-0.2653967,0.3521095,1.1843294,1.6387687,-0.40831864,1.2115488,0.26390284,-0.89618963,-1.5138028,1.208706,0.7803116,0.2944432,-1.6829057,-1.8140286,0.89057636,3.54396,-0.4164094,1.6017894,0.1968568,0.02271382,-0.0865611,-1.6389071,1.3609308,1.2394123,0.6635012,-0.9018153,0.80451,1.832781,-2.3972485,-1.2594138,1.6164441,0.99683887,0.8759653,2.0819855,1.350555,0.004403432,-1.4450908,-1.7620631,0.08302892,-0.85807794,-0.94076,-1.0151414,-2.3922966,0.52414423,0.40888664,3.0347412,0.67147,0.29837832,-1.4776062,1.2346898,-0.2792988,0.4643335,-1.0097994,0.7746213,2.7508335,0.38096064,-0.2542598,0.7638214,3.8965807,1.1835896,1.0556684,-0.42350164,-1.9246424,-1.3632106,0.85096604,0.58063257,-0.9900711,1.0597527,-0.66799366,1.2111572,0.23774104,1.0255822,-0.25371876,-0.6328413,0.9837779,-2.3102615,-2.1671195,-1.0185261,-1.2767307,2.4049058,0.58320355,-0.28817362,0.14511505,1.3027318,1.509634,-0.9441141,0.2224542,0.9625636,-0.5722135,-0.5664064,-0.78609985,-0.30181542,0.7694493,0.24028589,0.5018063,-1.3555292,1
-1.5519081,-1.9340594,0.37625584,-0.9942405,-2.404043,-0.03177381,0.09625709,1.5366817,-1.9636369,1.6214197,3.0209637,-0.51314306,-1.8575164,0.75603443,-0.9018738,-1.8898463,0.70277804,-1.0724819,-1.691265,1.4199519,-0.90162647,1.2682105,-0.07408537,2.4066231,1.1036057,1.6459528,1.2409325,0.036719937,-0.14947063,-1.0131912,-0.6000987,1.223559,0.34765068,-0.6340646,-0.13763268,-0.18561964,0.5229137,-0.28309828,2.0184746,-1.7862555,-1.5208842,0.4903785,-1.9260478,0.4192155,0.755393,0.8481796,1.5015734,-2.1667213,0.9661416,-1.4960567,-2.5940025,-0.14452803,0.12956324,2.3057587,-1.790008,-1.6865717,-1.262691,-0.3436258,1.4096229,-0.704744,-0.72233355,0.23314048,-0.13757312,0.8283093,-0.42744726,0.77686393,-0.72071666,0.5564433,0.48405293,2.444109,-0.13093747,0.65566325,0.36442825,-0.14633343,0.4095052,1.275382,-0.17677966,-0.42014438,-0.2996077,2.3556895,-1.7519361,-1.5036827,1.1295168,0.12172213,-2.5977879,1.3011153,-1.5241109,0.91167456,0.04162438,-1.1575056,-1.5976653,-0.89342946,-0.41302928,0.47575438,-0.28418496,0.8411374,-1.7342227,-0.6369951,0.8519702,-1.4727257,-2.0563016,0.60743314,-0.924603,-0.6674431,-1.2174898,0.567457,-1.3420486,-1.6695493,0.8622857,0.40497798,-1.3992383,-2.8245184,3.62028,0.4404963,-0.010269975,-1.9329941,1.0750738,-1.5243702,-0.8019556,-0.36755863,1.1051803,0.1493914,0.16049293,1.1714342,-1.1228771,-0.6050569,-0.873919,0.42114455,0
0.47480136,-4.777137,-1.7214025,-1.8061781,-1.3623147,0.09733859,-2.4083383,0.69967175,-0.46326002,2.4740465,3.1399086,-1.2973255,-1.3813769,0.041793104,-0.13840863,-2.545635,0.5185742,-4.402654,-1.9251022,4.607129,1.3751112,0.783602,-2.2320712,1.9644138,2.4601436,1.9411991,-1.3042777,-1.7679737,-0.10831474,-0.6176704,-0.86021423,-1.0016928,-1.5126362,-1.7693024,-0.9690673,-2.9465082,0.5099739,1.2201151,1.5860549,-2.258113,0.0527582,1.2160168,-0.56786823,2.1582353,1.0887537,0.20163171,2.1003041,1.3269621,-0.82200855,-0.6561285,0.7139303,2.233399,-1.2941176,2.4133847,-1.0985327,0.09766756,-0.19450048,-1.811225,1.133954,-0.05550738,-1.4979907,-3.2900438,1.9415803,2.8296201,-1.0085509,4.2334423,-1.4255087,-0.8536285,0.13586275,2.289629,1.2026424,-0.15366192,1.4930931,-2.1931303,1.2646787,-1.3401895,-0.63618857,-2.3647566,2.021859,1.7779065,0.49296185,-2.3728933,5.3764076,1.6551224,-0.72100675,3.7840807,-2.3720407,-0.5339977,-0.7931857,-0.12975203,-1.2341416,-0.8837331,0.14540981,3.2569964,0.98957235,1.3657715,-4.9857593,0.41533723,1.7757714,-1.7418045,-1.5036383,0.4699053,0.045851965,-1.1787345,-1.7713023,-3.8559337,0.8429636,-4.198653,0.40854067,-2.099252,-3.00421,-2.5213497,4.786243,0.4102155,-0.36947364,-1.6877298,3.6506348,-3.153894,0.7006423,3.220425,0.48730013,2.9282043,-1.1918906,1.9547008,-2.4312131,-0.2455812,-1.9746016,0.39129815,0
0.8187976,2.04,1.5059073,2.4595246,-0.2055034,2.3500319,0.8504096,-0.49588177,1.8693237,-0.9869779,-2.138708,0.82711285,-0.36423674,0.97318345,1.424308,-1.0013001,2.6002328,0.044977587,-0.6480858,0.022983247,-1.1970205,0.79614216,0.7028272,2.5194864,0.12951146,0.13949537,0.74036837,0.7195907,-1.5753207,2.4139829,-0.49658322,1.5499433,-0.2581291,1.0282712,0.67432535,0.15965043,-1.5607499,-0.64012694,-1.8066579,-0.33974403,-0.47990203,-0.52726376,0.823473,-1.1011295,0.025930088,0.606419,-2.5610132,1.0259929,-1.380601,-0.72498703,-0.75602186,-0.99000466,-0.48395365,-1.6405076,1.6526749,0.4828861,0.7143149,-0.9222017,-1.0516375,1.6012629,0.32895312,1.959821,-0.8885823,1.9743896,-0.63987833,-1.2416251,-0.006857654,-1.8890074,1.0963445,1.7783145,-0.9075508,0.36588606,-1.6281904,2.3012817,0.8905775,2.055627,-0.8654849,2.882374,-1.6109606,0.91759485,-1.130692,1.8076454,-0.5904758,-1.2065529,-0.53495455,-2.6723647,1.8243871,-0.5206167,0.18008776,0.079210296,2.899176,-0.081712835,-1.2524868,-0.7187711,-0.5807661,-0.9365372,2.4640796,1.5347303,-0.38328093,1.2948778,1.1690425,-0.4385242,0.16797829,-0.4303239,1.7664474,-0.8505865,1.6381367,-1.0665333,-2.4180696,1.3185781,-0.8004625,2.0762823,1.4986596,0.62080306,2.2278802,-2.069819,-0.47069153,-0.27832654,0.8514825,-1.0501087,0.5722064,1.5105821,1.6920344,0.84922886,3.428989,-0.5354615,2.0749483,2.8761082,0
0.11106231,-0.26597795,-1.0806845,-2.1737936,0.08022504,-2.1734943,1.3200512,0.7380655,0.5779504,1.2867221,1.3605627,2.717031,0.84438425,0.9828342,1.1905296,0.6127023,0.68497866,-1.3602595,0.102522016,0.9745413,-0.95240366,-1.9111304,0.824976,1.6741309,1.0532242,-1.260629,-0.5544194,0.744105,-0.31431082,2.1446624,1.6950247,0.4341,1.8050148,0.32921308,-1.0378025,1.9849564,-0.5614736,-0.1435185,-0.6464252,-2.1941273,-2.624194,0.008735567,0.11226443,-0.27096465,-0.8525913,0.258618,1.4650142,1.909231,-1.5651742,-1.2794303,-0.7789068,-1.3288795,-0.8843,0.7479133,-0.34211874,-1.0189401,0.6862451,-0.38145345,-0.1669029,0.91782236,-0.53574944,1.9792436,-1.3506316,-0.8646591,0.2710869,1.8980575,0.5435098,-1.4606836,1.8292655,-1.1765335,-0.3985734,-0.7377809,-0.5348213,1.516123,-0.3291918,1.426267,1.3301659,1.3816491,2.2193587,-0.16508928,-0.06983627,0.32765365,0.5507075,-2.07211,-1.356388,-0.40027848,1.1699318,1.1084245,0.22863078,-0.32113698,-0.67841226,-1.1512306,-2.902073,0.66843903,-2.5002873,0.098054565,-1.0492816,1.1051623,-0.52567804,0.05302874,1.9978157,0.92992973,-2.2459402,-2.008184,0.71074873,-0.6659106,-1.0951426,-1.3968776,-1.0568546,1.4954054,0.6397412,-1.2852108,1.7219934,-0.73560333,-0.5589144,-1.7536412,-0.039589014,-0.8928067,-1.9196693,-0.8575986,0.16760255,0.45489603,0.02540608,0.3784971,-2.3376727,1.8627927,2.116651,-2.3311121,0
-0.053630874,-1.0279747,-0.8067588,0.71020687,-1.353822,2.794811,2.179923,1.2859753,-1.7112597,0.5821995,1.4377983,-0.011935167,-2.377642,-0.42712247,0.73026454,0.033592552,-3.169399,-0.95926696,1.8704491,0.38026872,-0.49444035,0.4551027,0.90096176,-0.79589796,-1.3062,-1.917872,0.2780969,-0.13502307,0.2762582,-0.08989741,-0.1063829,2.0135148,3.9074678,2.2671514,4.150093,0.38002738,1.5212083,-0.633941,-1.1849309,-1.3550787,1.8147331,2.0277936,2.1546347,-0.09814929,1.4289947,-1.9712456,1.0130337,-1.1013142,-1.0338703,-1.2514431,-1.2104883,-1.9661032,3.2918723,1.4063294,2.194153,-0.25172433,-3.5913198,0.6124094,0.2345042,-1.1046329,-2.7216725,-2.5832071,0.25572175,0.38971817,0.9304935,0.55908245,0.5604066,1.6879107,0.08820854,-1.6494359,0.5958905,4.699721,-1.0029045,-1.2074981,-0.3012055,-0.5730103,0.5008473,-0.6510908,0.2973171,2.5022132,-0.17674066,1.023381,1.2286432,0.7048396,-0.018174136,-0.124753304,3.1383126,-0.45573607,-0.39405912,-1.8559682,-0.34611645,0.65092653,0.51774466,0.12426456,-2.040624,-1.8630747,0.71681476,-2.594181,0.7731189,0.84118694,0.4916957,0.973159,1.2336351,2.3859844,-1.8334693,0.9885521,-0.7077558,0.9094941,1.146484,-1.2926149,-1.8741162,-1.1061255,0.039273366,-1.8237373,-1.2598313,1.1117014,0.36246967,-0.65428805,2.6407804,1.058225,-0.8900411,-0.900404,-0.12780471,1.8054844,-0.30498654,-0.82937944,2.093939,-0.018080845,0
1.356265,-1.6163499,-0.26455668,-2.5981524,-0.057993013,-2.1138022,1.90149,0.36223477,-0.53010297,0.3351384,2.0585363,2.1594815,-1.8121483,-0.83284664,-0.15318027,0.14057207,-1.1754957,-0.5938068,0.36129963,0.9762465,0.6899586,-1.2236869,3.3536124,-0.6081108,0.20440555,-2.5391846,-1.6567199,1.8480922,4.2791743,-1.337953,-0.63890463,0.1880818,2.9293742,-0.95575774,0.3814084,-0.03496257,0.30373967,-0.83109367,-0.35735005,-0.7768612,0.79913104,1.1718158,1.6140275,2.281433,2.9459167,0.31374416,-0.19351111,-1.0516841,-0.07830474,-1.84928,-1.3736838,-1.6270957,3.0707014,0.92935103,0.7538273,-0.09566851,-1.3502997,1.9649631,0.048831552,-1.5767808,0.17656203,-1.070102,-2.598512,-2.5568767,3.3511055,0.9080937,1.6277653,1.1163679,2.2393582,-1.2988231,3.386598,2.537717,-2.91488,-0.9045946,0.25959218,0.086732075,0.3069538,-1.243311,0.5610361,0.3210588,0.9386488,0.6674085,0.46574414,1.4038199,-0.5243676,-1.5865788,-1.123312,1.8888853,0.6612873,-1.9023174,-1.7617486,-0.35665387,0.67544657,0.7135447,-0.760884,1.3142434,-1.3919715,-2.400885,1.7478014,-0.771557,-0.5926581,-1.339468,0.6388608,0.7893834,-2.80759,1.874351,-1.0659999,0.16762958,0.14913394,-0.078370854,-1.2604604,-1.1715395,-0.33914477,-3.2483904,0.07020401,0.7671374,-0.55629814,-1.2864801,-0.1917327,-2.2608075,1.218353,0.45972112,-0.09482343,1.6304733,-2.3836162,1.7300177,1.0704278,-1.7842956,0
-0.81939065,-1.4318043,-1.7703891,-1.347541,0.7151059,1.2649599,-2.835853,-0.19170657,0.09885549,-0.15182842,2.055631,-2.019927,-1.0292599,-0.004014613,-1.9359258,-2.282884,-1.0428271,0.6459634,-0.26908392,2.4419656,-0.33658704,1.4025013,-0.3096942,-0.93025625,2.1364133,0.83249366,-1.8081722,0.6364913,2.1703186,-2.746978,-0.78337246,-0.9057514,1.0657884,0.9653556,3.6480854,-1.8391656,1.1095893,0.14003783,-0.14661711,1.447947,2.148574,-0.75041527,2.4556854,2.373926,0.97219336,0.9396858,-0.33672813,-2.0828316,0.3066574,-0.5766109,0.15212455,-0.5652748,1.53098,2.073431,-0.4151817,-1.5906527,-1.2045163,0.22798625,1.1019791,-2.2178922,1.0852393,-1.1995375,-0.34915283,-0.24496962,0.35508546,0.60606337,1.704862,3.6784964,-0.34061468,-0.9617588,2.5805407,1.5164812,1.4508681,-0.9299257,2.1212046,-1.425112,-1.6864774,-3.305271,-1.15369,-0.02092041,0.79103065,0.7088165,-0.57498056,1.4810072,1.7773222,0.9705598,-1.2492213,1.479959,-0.9470278,-1.7249737,-2.654177,1.2849264,1.2920492,-0.7435953,-0.5745805,0.4586845,-2.9020567,-2.16741,0.15443717,0.3989009,-2.8382003,0.20676717,3.3371255,3.2467515,-2.4021013,0.70305455,-2.0185516,1.3871601,2.202056,-1.99348,1.3750654,-0.7123077,-0.55046964,0.6414983,-1.3671267,2.2224975,0.28796577,-1.605251,0.6799137,-1.3881654,-1.0046519,-1.6954967,-0.688085,-0.5545073,-2.0870245,0.47791055,-1.6005834,-2.1073682,0
